,S001,S005,S008,S009,S010,S011,S013,S018,S019,S021,S023,S024,S025,S026,S027,S028,S029,S033,S034,S037,S044,S046,S049,S064,S065,S066,S069,S070,S072,S081,S082,S083,S084,S086,S090,S094,S098,S100,S107
Brenneria izadpanahii,0,0,5,0,0,5,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,10,0,0,0,0,0,0
Enterobacter oligotrophicus,0,5,0,5,0,0,0,0,5,10,5,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ectothiorhodospira sp. BSL-9,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,5,5,0,0,0,0,10,0
Methylomonas koyamae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,10
Microbulbifer elongatus,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0,0,15
Candidatus Protochlamydia naegleriophila,0,0,5,0,20,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0
Prosthecochloris sp. CIB 2401,0,0,0,5,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10
Loigolactobacillus backii,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,5,0,0
Streptococcus parasuis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,5,5,5,5,0,5,0,5,0,0,5,0,0
Alicyclobacillus mengziensis,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,5,10,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,5
Alicyclobacillus sp. SO9,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,5,0,0,0,5,0,0,0,0,0,0,5,0
Paenibacillus antarcticus,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,0,0,0,0,0,0,0,5,10,5,5,0
Paenibacillus sp. G2S3,0,5,0,5,0,5,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5
Paenibacillus sp. BR1-192,0,0,0,5,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,5,0,0,5,0,0,0,0,5,0,5
Paenibacillus sp. 19GGS1-52,0,5,0,0,0,0,0,10,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0
Paenibacillus baekrokdamisoli,0,5,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0
Acutalibacter muris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,5,5,0,5,0,0,0,0,10,5,5,0
Vescimonas coprocola,0,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,10,5,0,5,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
Carboxydocella thermautotrophica,0,0,0,5,0,0,0,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,0,5,0,0,5,0,0,5
Emergencia timonensis,0,5,0,5,0,5,0,0,0,10,5,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5
Christensenella minuta,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,5,0,5,0,0,5,0,0,5
Halomicronema hongdechloris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,5,0,5,5,5,5,0,0,0,5,0,0,0,0,0,0,0,5
Leptolyngbya sp. PKUAC-SCTA174,0,0,0,0,0,0,0,10,10,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0
Synechococcus sp. KORDI-52,0,5,5,0,0,5,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,10,0,5,0,0,0,0,0,0
Sphaerospermopsis torques-reginae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5,5,10,0,5,0,5,5,0,0,0,0,0
Brevibacterium sp. W7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,5,5,0,0,0,5,0,5,0,5,0,0,5,0,5,0
Microbacterium sp. 1.5R,0,0,0,0,0,10,0,0,5,0,0,0,0,0,5,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0
Rathayibacter sp. VKM Ac-2762,0,0,10,0,0,5,0,10,5,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium lizhenjunii,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,5,0,0,0,0,0,5,0,5,5,5,0,0,0,5,0,5,0,0,0,0,5,0
Corynebacterium ureicelerivorans,0,0,5,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,5,0,0,5,5,0,0
Streptomyces olivaceus,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0
Streptomyces sp. HU2014,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,5,5,0,5,0,0,0,0,0,0,5,5,5
Streptomyces sp. BJ20,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,0
Streptomyces parvulus,0,5,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,5,5,0,0,5,0,5,0,5,0
Schaalia cardiffensis,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,5,0,5,0,0,0
Actinomyces viscosus,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,5,5,0,0,0,0,0,0,0,0,5,0,0,5,5,0,0,0,0,0,5,5,0,0
Azospira oryzae,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,5,5,0,0,5,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Sutterella wadsworthensis,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,5,0,0,5,0,0,5,0,5,0
Oxalobacter aliiformigenes,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,10,5,0,0,0,5,0,0,0,0,5,5,5,0,5,0,0,0,0,0,0
Orrella marina,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,5,0,0,5,5,0,0,0,5,5,0,0,0,0,5
Gluconobacter albidus,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,5,5,0,0,5,5,0,0,0,0,0,0
Sulfitobacter sp. S223,0,0,0,0,0,5,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,5,5,5
Thalassobacter stenotrophicus,0,5,10,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0
Pseudorhodobacter turbinis,0,0,0,0,0,0,0,10,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5
Erythrobacter sp. SDW2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,10,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0
Altererythrobacter sp. ZODW24,0,0,0,0,0,5,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,15,0,5,0,0,5,0,0,0,0,0,0,0,0,0,5,0
Tardiphaga sp. vice154,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
Bradyrhizobium sp. 155,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Mesorhizobium sp. WSM4906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,5,0,10,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0
Sneathiella marina,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,5,5,0,0,0,0,5,0
Pseudomonas agarici,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,5,0,5,0,0,0,0,5,5
Pseudomonas tolaasii,0,5,0,0,0,5,0,0,0,0,0,0,0,5,0,0,5,0,0,5,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,5,5
Pseudomonas mediterranea,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,5,0,10,5,5,0,0,0,0,0,0,0,5,0,0,0
Pseudomonas granadensis,0,0,0,0,0,5,0,0,5,0,0,0,0,0,5,0,5,0,0,5,0,0,5,0,0,0,5,0,0,0,5,0,5,0,0,0,0,5,0
Pseudomonas sp. R5-89-07,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,0,0,0,5,10,0,0,5,0,0,0,0,5
Pseudomonas sp. SL4(2022),0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,5,5,5,0,0,5,0,5
Pseudomonas sp. B11D7D,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,5,0,5,5,5,0,0,5,0,0,0,0,0,5
Pseudomonas sp. OE 28.3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,5,0,5,5,0,0,0,5,0,5
Pseudomonas sp. DR48,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,10,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Pseudomonas asturiensis,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,5,0,10,5,0,0,0,5,0
Pseudomonas maumuensis,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0,5,0,0,0,0,10,0,0,0
Pseudomonas nunensis,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,0,0,0,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0
Rahnella aquatilis,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,5,0,0,5,0,0,0,0,5,5
Lonsdalea britannica,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,5,5,0,0,10,0,0,0,0,5,0,0,0,0,0
Dickeya chrysanthemi,0,0,0,5,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,0,5,5,0,0,0,0,0
Kalamiella piersonii,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,5,0,0,0,0,5,5,0,5,0,0,5,0,0,5
Enterobacter cloacae complex sp.,0,5,0,5,0,0,0,0,0,5,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0,5
Kosakonia sacchari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0,5,5,5,0,10,0,0,0,0,0,5
Nitrosococcus halophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,5,5,10,5,5,0,0,0,0,5,0
Stenotrophomonas sp. NA06056,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,0
Cardiobacterium hominis,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,5,5,5,5,0,0,0,0,0,0
Endozoicomonas sp. 4G,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,10,10,0,5
Hahella sp. KA22,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,5,5,5,5,0,0,5,0,0,0
Halomonas sp. A40-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,5,0,0,5,0,0,0,5,0,5,0,0,0,0,5,5
Shewanella khirikhana,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,5
Microbulbifer hydrolyticus,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,5,0,5,5,0,0,5,0,0,0,0,5,0
Marinimicrobium sp. C6131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,5,5,0,10,0,0,0,0,5,5
Syntrophus aciditrophicus,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,5,0,5,0,0,0,0,5,0
Desulfovibrio mangrovi,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,10,0,0,0,5,5,0,5,5,0,0,0,0,5
Breznakiella homolactica,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,10,0,5,0,5,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,5,0
Pelodictyon luteolum,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,5,5,0,5,0,0,0,0,5,0
Niabella ginsenosidivorans,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,10,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,5
Dyadobacter fermentans,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,5,0,0,5,0,5,5
Hymenobacter sp. DG25B,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,0,5,0,5,0,5,5
Hymenobacter sp. 5420S-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,5,0,5,5,0,0,0,15,0,0,0,0,5,0
Flammeovirga kamogawensis,0,0,0,0,20,0,0,15,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Barnesiella viscericola,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,5,0,0,10,0,0,0,0,0,5,0,5,0,0,0,0,5,0,0,0,5,0,0
Paenibacillus borealis,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,10,0,5,5,0,0,5,0,0,0,0,10,0,0,0
Peptoniphilus ivorii,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,5,5,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,0
Enterocloster bolteae,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,5,0,5,0,0,0,5,5,0,0,5,0,0,0,5,0
Jonesia denitrificans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,5,5,0,5,0,0,0,0,0,5,0,0,0,5,0,5,0
Mycobacterium sp. 20KCMC460,0,5,10,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Uruburuella testudinis,0,5,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,5,0,5,0,0,0,0,0,5
Mesorhizobium sp. M1A.F.Ca.IN.022.06.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,5,0,5,0,0,0,5,0,5,0,5,0,0,0,0,0,5
Microvirga roseola,0,0,0,0,0,5,0,0,5,0,0,0,5,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0
Pseudomonas sp. LS.1a,0,0,5,0,0,5,0,10,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,5,5,0,0,0,0,0,0,0,0
Pseudomonas phenolilytica,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,5,0,0,5,0,0,0,5,0
Pseudomonas fakonensis,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,5,5,0,0,0,0,5,5
Dickeya zeae,0,0,0,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,10,0,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5
Cronobacter dublinensis,0,10,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,5,0,0,0,0,5,5
Klebsiella grimontii,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,0,10,0,0,0,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,5,5
Xanthomonas phaseoli,0,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,5
Pseudodesulfovibrio sediminis,0,5,0,0,0,0,0,0,10,0,0,0,5,5,5,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0
Fibrella sp. ES10-3-2-2,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,10,0,0,5,0,0,0,5,0,0,5,0,5,0,0,0,0,0,5,0,0,0,0
Latilactobacillus curvatus,0,0,5,0,20,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Streptomyces sp. CA-278952,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,10,0
Candidatus Nitrotoga sp. AM1P,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,10,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,10
Brevundimonas sp. BT-123,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,5
Pseudomonas muyukensis,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,0,0,0,0,10,0
Gibbsiella quercinecans,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,10,10
Ignavibacterium album,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,10
Ferruginibacter albus,0,0,0,0,0,0,0,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
Hymenobacter sp. NBH84,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,10,10
Alistipes megaguti,0,0,0,0,0,0,0,10,5,0,10,0,0,0,0,5,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Effusibacillus dendaii,0,0,0,0,0,0,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,5,0,0,0,0,0,5
Paenibacillus cellulositrophicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,5,0,0,5,0,0,5,0,0,0,0,0,0,10,5
Paenibacillus physcomitrellae,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,5,0,5,5,0
Planococcus lenghuensis,0,5,0,0,0,0,0,10,0,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5
Allobacillus halotolerans,0,0,5,0,0,5,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,0
Geobacillus stearothermophilus,0,0,5,0,0,5,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,0,5,0,5,0,0,0,0,0,0,0,5,0
Bacillus pumilus,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,10,0,5,0,0,0,5,0,0,5,0,0,0,0,5,0,0
Bacillus sp. OxB-1,0,0,0,0,20,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Bacillus velezensis,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,5,0,0,5,0,0,5,0,0,0,0,0,0,5,0
Salicibibacter halophilus,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Selenomonas ruminantium,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,5,0,5,0
Syntrophothermus lipocalidus,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,5,0,0,0,5,0,0,0,5,0,0,0,0,5,0
Pseudoclostridium thermosuccinogenes,0,0,10,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,5,0
Proteiniclasticum sp. QWL-01,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,10,0,5,5
Thermosynechococcus vestitus,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,0
Trichothermofontia sichuanensis,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,5,0,5,0,5,0,0,0,0,5,5
Moorena producens,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,5,0,5,0,5,0,0,0,0,5,5
Brasilonema sennae,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,5,5,0,5,0,5,0
Bifidobacterium breve,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,5,0
Bifidobacterium catenulatum,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,5
Microcella indica,0,5,0,0,0,5,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,5
Aurantimicrobium photophilum,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,10,5,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,5,0
Pseudarthrobacter sulfonivorans,0,5,0,0,0,5,0,10,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,5
Glutamicibacter mishrai,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,10
Citricoccus sp. NR2,0,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0
Arthrobacter sp. StoSoilA2,0,0,5,0,0,0,0,0,5,0,5,0,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0
Arthrobacter sp. FW306-05-C,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,5,0,5,0,0,0,0,5,5
Rhodococcus sp. M8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5,0,0,10,10,5
Mycolicibacterium nivoides,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0
Corynebacterium matruchotii,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,5,0,0,5,0,0,0,0,0,5,5,5
Corynebacterium riegelii,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,5,0,0,5,0,0,5,0,5
Corynebacterium lujinxingii,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,5,0,0,0,0,5,5,0,0,0,5,0,0,0,0,5,0
Corynebacterium lactis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,15,0,0,0,0,5,0,5,5
Corynebacterium ihumii,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,5,0,5,5,0,0,0,0,5,0,0,0
Micromonospora rifamycinica,0,5,0,0,0,10,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Actinoplanes hotanensis,0,5,0,0,0,5,0,0,0,10,0,0,0,0,5,0,0,10,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptomyces lividans,0,0,0,0,0,5,0,10,0,5,0,0,0,0,5,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
